Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
GLOB,Ashes of Apocalypse,"Random100",,0x3010001,0,,,,""
GLOB,Ashes of Apocalypse,"CharGenState",,0x3010002,1,,,,""
GLOB,Ashes of Apocalypse,"CharGenSpawn",,0x3010003,2,,,,""
RACE,Ashes of Apocalypse,"0human",,0x3010004,3,,,,""
RACE,Ashes of Apocalypse,"0human2",,0x3010005,4,,,,""
RACE,Ashes of Apocalypse,"0MercBotSNew",,0x3010006,5,,,,""
SOUN,Ashes of Apocalypse,"0LightSArmorSHit",,0x3010007,6,,,,""
SOUN,Ashes of Apocalypse,"0MediumSArmorSHit",,0x3010008,7,,,,""
SOUN,Ashes of Apocalypse,"0HeavySArmorSHit",,0x3010009,8,,,,""
SOUN,Ashes of Apocalypse,"0HealthSDamage",,0x301000a,9,,,,""
SOUN,Ashes of Apocalypse,"0HandSToSHandSHit",,0x301000b,10,,,,""
SOUN,Ashes of Apocalypse,"0Miss",,0x301000c,11,,,,""
SOUN,Ashes of Apocalypse,"0CriticalSDamage",,0x301000d,12,,,,""
SOUN,Ashes of Apocalypse,"0DefaultLand",,0x301000e,13,,,,""
SOUN,Ashes of Apocalypse,"0DefaultLandWater",,0x301000f,14,,,,""
SOUN,Ashes of Apocalypse,"0BasicLeft",,0x3010010,15,,,,""
SOUN,Ashes of Apocalypse,"0BasicRight",,0x3010011,16,,,,""
SOUN,Ashes of Apocalypse,"0FootLightLeft",,0x3010012,17,,,,""
SOUN,Ashes of Apocalypse,"0FootLightRight",,0x3010013,18,,,,""
SOUN,Ashes of Apocalypse,"0FootMedLeft",,0x3010014,19,,,,""
SOUN,Ashes of Apocalypse,"0FootMedRight",,0x3010015,20,,,,""
SOUN,Ashes of Apocalypse,"0FootHeavyLeft",,0x3010016,21,,,,""
SOUN,Ashes of Apocalypse,"0FootHeavyRight",,0x3010017,22,,,,""
SOUN,Ashes of Apocalypse,"0FootWaterRight",,0x3010018,23,,,,""
SOUN,Ashes of Apocalypse,"0FootWaterLeft",,0x3010019,24,,,,""
SOUN,Ashes of Apocalypse,"0MenuSSize",,0x301001a,25,,,,""
SOUN,Ashes of Apocalypse,"0MenuSClick",,0x301001b,26,,,,""
SOUN,Ashes of Apocalypse,"0BowShoot",,0x301001c,27,,,,""
SOUN,Ashes of Apocalypse,"0BowPull",,0x301001d,28,,,,""
SOUN,Ashes of Apocalypse,"0BasicScream",,0x301001e,29,,,,""
SOUN,Ashes of Apocalypse,"0BasicRoar",,0x301001f,30,,,,""
SOUN,Ashes of Apocalypse,"0BasicMoan",,0x3010020,31,,,,""
SOUN,Ashes of Apocalypse,"0fire2",,0x3010021,32,,,,""
SOUN,Ashes of Apocalypse,"0FlushSToliet",,0x3010022,33,,,,""
SOUN,Ashes of Apocalypse,"0overcast",,0x3010023,34,,,,""
SOUN,Ashes of Apocalypse,"0bookSclose",,0x3010024,35,,,,""
SOUN,Ashes of Apocalypse,"0bookSopen",,0x3010025,36,,,,""
SOUN,Ashes of Apocalypse,"0bookSpage",,0x3010026,37,,,,""
SOUN,Ashes of Apocalypse,"0bookSpage2",,0x3010027,38,,,,""
SOUN,Ashes of Apocalypse,"0electronics018Pwav",,0x3010028,39,,,,""
SOUN,Ashes of Apocalypse,"0electronics019Pwav",,0x3010029,40,,,,""
SOUN,Ashes of Apocalypse,"0emergency031Pwav",,0x301002a,41,,,,""
SOUN,Ashes of Apocalypse,"0nature008Pwav",,0x301002b,42,,,,""
SOUN,Ashes of Apocalypse,"0nature009Pwav",,0x301002c,43,,,,""
SOUN,Ashes of Apocalypse,"0nature010Pwav",,0x301002d,44,,,,""
SOUN,Ashes of Apocalypse,"0nature020Pwav",,0x301002e,45,,,,""
SOUN,Ashes of Apocalypse,"0nature034Pwav",,0x301002f,46,,,,""
SOUN,Ashes of Apocalypse,"0nature035Pwav",,0x3010030,47,,,,""
SOUN,Ashes of Apocalypse,"0battle047Pwav",,0x3010031,48,,,,""
SOUN,Ashes of Apocalypse,"0misc037Pwav",,0x3010032,49,,,,""
CLAS,Ashes of Apocalypse,"0Guard",,0x3010033,50,,,,""
CLAS,Ashes of Apocalypse,"0Citizen",,0x3010034,51,,,,""
CLAS,Ashes of Apocalypse,"0Bandit",,0x3010035,52,,,,""
CLAS,Ashes of Apocalypse,"0Scout",,0x3010036,53,,,,""
CLAS,Ashes of Apocalypse,"0Pilgrim",,0x3010037,54,,,,""
CLAS,Ashes of Apocalypse,"0Warrior",,0x3010038,55,,,,""
CLAS,Ashes of Apocalypse,"0Rogue",,0x3010039,56,,,,""
CLAS,Ashes of Apocalypse,"0Monk",,0x301003a,57,,,,""
CLAS,Ashes of Apocalypse,"0Thief",,0x301003b,58,,,,""
FACT,Ashes of Apocalypse,"0UBASPolice",,0x301003c,59,,,,""
REGN,Ashes of Apocalypse,"OuterZoneRegion",,0x301003d,60,,,,""
WEAP,Ashes of Apocalypse,"0VFXUDefaultBolt",,0x301003e,61,,,,""
WEAP,Ashes of Apocalypse,"0RifleSTSAKT47",,0x301003f,62,,,,""
WEAP,Ashes of Apocalypse,"0MeleeSTSIronSBlockSSword",,0x3010040,63,,,,""
WEAP,Ashes of Apocalypse,"0MeleeSTSWrench",,0x3010041,64,,,,""
WEAP,Ashes of Apocalypse,"0PistolSTSRugerSP94",,0x3010042,65,,,,""
WEAP,Ashes of Apocalypse,"0MeleeSTSKnife",,0x3010043,66,,,,""
scpt,Ashes of Apocalypse,"tuscglobalulooptrscript",,0x3010044,67,,,,""
WEAP,Ashes of Apocalypse,"0MeleeSTSMetalSSpike",,0x3010045,68,,,,""
WEAP,Ashes of Apocalypse,"0RifleSTSPanzerSAT21",,0x3010046,69,,,,""
WEAP,Ashes of Apocalypse,"0SMGSTSP90",,0x3010047,70,,,,""
WEAP,Ashes of Apocalypse,"0SMGSTSP90SLaser",,0x3010048,71,,,,""
WEAP,Ashes of Apocalypse,"0MeleeSTSBat",,0x3010049,72,,,,""
WEAP,Ashes of Apocalypse,"0SMGSTSP90SMod",,0x301004a,73,,,,""
WEAP,Ashes of Apocalypse,"0RifleSTSSawedSOffSShotgun",,0x301004b,74,,,,""
WEAP,Ashes of Apocalypse,"0RifleSTSPanzerSAT21SFAKE",,0x301004c,75,,,,""
WEAP,Ashes of Apocalypse,"0MercBotURifleTPanzerUAT21",,0x301004d,76,,,,""
MISC,Ashes of Apocalypse,"0BodySPartsSTSEyeball",,0x301004e,77,,,,""
MISC,Ashes of Apocalypse,"0BodySPartsSTSIntestine",,0x301004f,78,,,,""
MISC,Ashes of Apocalypse,"0BodySPartsSTSKidney",,0x3010050,79,,,,""
MISC,Ashes of Apocalypse,"0BodySPartsSTSBrain",,0x3010051,80,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSClean",,0x3010052,81,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSAKT47",,0x3010053,82,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSOrangeSTR",,0x3010054,83,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSOrangeSU2SM",,0x3010055,84,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSClosedSRust",,0x3010056,85,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSVIRUS!",,0x3010057,86,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSBloodmoon",,0x3010058,87,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSOpenSDarkSGray",,0x3010059,88,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSOpenSRust",,0x301005a,89,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSOpenSGray",,0x301005b,90,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSOpenSLightSGray",,0x301005c,91,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSOpenSBlack",,0x301005d,92,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSClosedSBlue",,0x301005e,93,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSClosedSLightGray",,0x301005f,94,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSClosedSGray",,0x3010060,95,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSCaseSClosedSDarkSGray",,0x3010061,96,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSMetal",,0x3010062,97,,,,""
MISC,Ashes of Apocalypse,"0TechSTSCDSRust",,0x3010063,98,,,,""
MISC,Ashes of Apocalypse,"0dvd5",,0x3010064,99,,,,""
MISC,Ashes of Apocalypse,"0DVDUISLUVSMYSP90",,0x3010065,100,,,,""
MISC,Ashes of Apocalypse,"0dvd1",,0x3010066,101,,,,""
MISC,Ashes of Apocalypse,"0dvd2",,0x3010067,102,,,,""
MISC,Ashes of Apocalypse,"0dvd3",,0x3010068,103,,,,""
MISC,Ashes of Apocalypse,"0DVDUP90SIntroductory",,0x3010069,104,,,,""
MISC,Ashes of Apocalypse,"0asUgothUcrystalUknot",,0x301006a,105,,,,""
MISC,Ashes of Apocalypse,"0asUgothUcrystalUball",,0x301006b,106,,,,""
MISC,Ashes of Apocalypse,"0asUgothUcrystalUstar",,0x301006c,107,,,,""
