Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
GLOB,Desert Region 2,"PCWerewolf",,0x4010001,0,,,,""
GLOB,Desert Region 2,"tankstate",,0x4010002,1,,,,""
GLOB,Desert Region 2,"Vahenromance",,0x4010003,2,,,,""
GLOB,Desert Region 2,"Vahendie",,0x4010004,3,,,,""
GLOB,Desert Region 2,"PCRedchurchExp",,0x4010005,4,,,,""
GLOB,Desert Region 2,"PCRank",,0x4010006,5,,,,""
GLOB,Desert Region 2,"Ashley",,0x4010007,6,,,,""
GLOB,Desert Region 2,"challenge01",,0x4010008,7,,,,""
GLOB,Desert Region 2,"challenge01timer",,0x4010009,8,,,,""
GLOB,Desert Region 2,"Moscowchallenge01",,0x401000a,9,,,,""
GLOB,Desert Region 2,"Moscowchallenge01timer",,0x401000b,10,,,,""
GLOB,Desert Region 2,"fly",,0x401000c,11,,,,""
GLOB,Desert Region 2,"PCHasCrimeGold",,0x401000d,12,,,,""
GLOB,Desert Region 2,"CrimeGoldDiscount",,0x401000e,13,,,,""
GLOB,Desert Region 2,"CrimeGoldTurnIn",,0x401000f,14,,,,""
GLOB,Desert Region 2,"PCHasGoldDiscount",,0x4010010,15,,,,""
GLOB,Desert Region 2,"PCHasTurnIn",,0x4010011,16,,,,""
GLOB,Desert Region 2,"orb",,0x4010012,17,,,,""
GLOB,Desert Region 2,"Hero",,0x4010013,18,,,,""
GLOB,Desert Region 2,"DreamMania",,0x4010014,19,,,,""
GLOB,Desert Region 2,"DR2marriedLR",,0x4010015,20,,,,""
GLOB,Desert Region 2,"MattKill",,0x4010016,21,,,,""
GLOB,Desert Region 2,"Hashy",,0x4010017,22,,,,""
GLOB,Desert Region 2,"Geese",,0x4010018,23,,,,""
GLOB,Desert Region 2,"AngelinaOwe",,0x4010019,24,,,,""
GLOB,Desert Region 2,"AngelinaHasGold",,0x401001a,25,,,,""
GLOB,Desert Region 2,"AngelinaState",,0x401001b,26,,,,""
GLOB,Desert Region 2,"AngelinaBed",,0x401001c,27,,,,""
GLOB,Desert Region 2,"PCMutant",,0x401001d,28,,,,""
GLOB,Desert Region 2,"WhiteOrb",,0x401001e,29,,,,""
GLOB,Desert Region 2,"AngelinaDay",,0x401001f,30,,,,""
GLOB,Desert Region 2,"AngelinaDiscount",,0x4010020,31,,,,""
GLOB,Desert Region 2,"AngelinaLeft",,0x4010021,32,,,,""
GLOB,Desert Region 2,"CantTravel",,0x4010022,33,,,,""
GLOB,Desert Region 2,"vmetbatheight",,0x4010023,34,,,,""
GLOB,Desert Region 2,"vmetflightvelocity",,0x4010024,35,,,,""
GLOB,Desert Region 2,"vmetminvelocitytrigger",,0x4010025,36,,,,""
GLOB,Desert Region 2,"vmetobjscale",,0x4010026,37,,,,""
GLOB,Desert Region 2,"vmetpcbatnb",,0x4010027,38,,,,""
GLOB,Desert Region 2,"vmetpcscale",,0x4010028,39,,,,""
GLOB,Desert Region 2,"vmetplayertransformed",,0x4010029,40,,,,""
GLOB,Desert Region 2,"vmetflightzvelocitymult",,0x401002a,41,,,,""
GLOB,Desert Region 2,"vmetspellduration",,0x401002b,42,,,,""
GLOB,Desert Region 2,"vmetspellsecondspassed",,0x401002c,43,,,,""
GLOB,Desert Region 2,"vmetpcbeastrace",,0x401002d,44,,,,""
GLOB,Desert Region 2,"vmetcreatureweapon",,0x401002e,45,,,,""
GLOB,Desert Region 2,"vmetpcshortbladechange",,0x401002f,46,,,,""
GLOB,Desert Region 2,"vmetcombatskillincrease",,0x4010030,47,,,,""
GLOB,Desert Region 2,"vmetcombatshortblade",,0x4010031,48,,,,""
GLOB,Desert Region 2,"vmetbatforwardrun",,0x4010032,49,,,,""
GLOB,Desert Region 2,"vmetbatforwardwalk",,0x4010033,50,,,,""
GLOB,Desert Region 2,"vmetpcbattime",,0x4010034,51,,,,""
GLOB,Desert Region 2,"ScriptedSpells",,0x4010035,52,,,,""
GLOB,Desert Region 2,"vmetloadgame",,0x4010036,53,,,,""
GLOB,Desert Region 2,"vmetinfoformplace",,0x4010037,54,,,,""
GLOB,Desert Region 2,"vmetgamesession",,0x4010038,55,,,,""
GLOB,Desert Region 2,"vmetcollisionx",,0x4010039,56,,,,""
GLOB,Desert Region 2,"vmetcollisiony",,0x401003a,57,,,,""
GLOB,Desert Region 2,"vmetcolliding",,0x401003b,58,,,,""
GLOB,Desert Region 2,"vmetformpcscale",,0x401003c,59,,,,""
GLOB,Desert Region 2,"vmetheight1stperson",,0x401003d,60,,,,""
GLOB,Desert Region 2,"vmetbatforwardnomove",,0x401003e,61,,,,""
GLOB,Desert Region 2,"vmetstealspellmode",,0x401003f,62,,,,""
GLOB,Desert Region 2,"vmetstealchosen",,0x4010040,63,,,,""
GLOB,Desert Region 2,"vmetstealspellonnpc",,0x4010041,64,,,,""
GLOB,Desert Region 2,"vmetstealspellinstructions",,0x4010042,65,,,,""
GLOB,Desert Region 2,"vmetplayerstrike",,0x4010043,66,,,,""
GLOB,Desert Region 2,"vmetwallposx",,0x4010044,67,,,,""
GLOB,Desert Region 2,"vmetwallposy",,0x4010045,68,,,,""
GLOB,Desert Region 2,"vmetwallposz",,0x4010046,69,,,,""
GLOB,Desert Region 2,"vmetwallmode",,0x4010047,70,,,,""
GLOB,Desert Region 2,"vmetwalldistance",,0x4010048,71,,,,""
GLOB,Desert Region 2,"vmetwalloffirenb",,0x4010049,72,,,,""
GLOB,Desert Region 2,"vmetwallanglez",,0x401004a,73,,,,""
GLOB,Desert Region 2,"vmetwallposnb",,0x401004b,74,,,,""
GLOB,Desert Region 2,"vmetwalltype",,0x401004c,75,,,,""
GLOB,Desert Region 2,"vmetwallrank",,0x401004d,76,,,,""
GLOB,Desert Region 2,"vmetlargecreature",,0x401004e,77,,,,""
GLOB,Desert Region 2,"vmetslowwalkfraction",,0x401004f,78,,,,""
GLOB,Desert Region 2,"vmettransformnb",,0x4010050,79,,,,""
GLOB,Desert Region 2,"vmethitunderattack",,0x4010051,80,,,,""
GLOB,Desert Region 2,"vmetwatercreature",,0x4010052,81,,,,""
GLOB,Desert Region 2,"vmetstealspelllowint",,0x4010053,82,,,,""
GLOB,Desert Region 2,"vmetcrimedone",,0x4010054,83,,,,""
GLOB,Desert Region 2,"vmetstealspellgoldstolen",,0x4010055,84,,,,""
GLOB,Desert Region 2,"vmetstealspellgoldadded",,0x4010056,85,,,,""
GLOB,Desert Region 2,"vmetbatright",,0x4010057,86,,,,""
GLOB,Desert Region 2,"vmetbatangle",,0x4010058,87,,,,""
GLOB,Desert Region 2,"PCWereRat",,0x4010059,88,,,,""
GLOB,Desert Region 2,"PCWereratState",,0x401005a,89,,,,""
GLOB,Desert Region 2,"PCWereRatHunger",,0x401005b,90,,,,""
