GENERIC EDID,NEW EDID
mwA12AntabolisInformant,fbmwMQ02
mwA26Incarnate,fbmwMQ10
mwB7TelvanniBook,fbmwMQTelvanni
mwB8AllHortator,fbmwMQTelvanni
mwB8AllNerevarine,fbmwMQAllHortandNer
mwB8MeetVivec,fbmwMQ12
mwBMRumors,fbmwBMRumors
mwC3DestroyDagoth,fbmwMQ14
mwCO1,fbmwCO1
mwCO7,fbmwCO7
mwHHTwinLamps1,fbmwHHTwinLamps1
mwHRShurinbaal,fbmwHRShurinbaal
mwHTBaladasAlly,fbmwHTBaladasAlly
mwHTRecruitEddie,fbmwHTRecruitEddie
mwILSmuggler,fbmwILSmuggler
mwTR09Journalist,fbmwTR09
mwTRDBAttack,fbmwTRDBAttack
mwTRDBHunt,fbmwTRDBHunt
mwTTSevenGraces,fbmwTTSevenGraces
mwVAVampAmulet,fbmwVAVampAmulet
mwVAVampCountess,fbmwVAVampContess
mwVAVampHunter,fbmwVAVampHunter
mwA11FindSpymaster,fbmwMQ01
mwA17HuleeyaInformant,fbmwMQ04c
mwA1SleepersEndris,fbmwA1Sleepers
mwA1VVivecInformants,fbmwMQ04
mwA226thHouse,fbmwMQ07
mwA24MiloGone,fbmwMQ09
mwA26Peakstar,fbmwMQ10
mwB3ZainabBride,fbmwMQ11z
mwB5RedoranHort,fbmwMQRedoran
mwDABoethiah,fbmwDABoethiah
mwDAMalacath,fbmwDAMalacath
mwEBActor,fbmwEBActor
mwEBBone,fbmwEBBone
mwEBDeadMen,fbmwDeadMen
mwEBDeed,fbmwEBDeed
mwEBFalse,fbmwEBFalse
mwEBPest,fbmwEBPest
mwFGKhajiitBounty,fbmwFGKhajiitBounty
mwFGVerethiGang,fbmwFGVerethiGang
mwHHBuriedTreasure,fbmwHHBuriedTreasure
mwHHWinCamonna,fbmwHHWinCamonna
mwHHWinSaryoni,fbmwHHWinSaryoni
mwHRAttackUvirith,fbmwHRAttackUvirith
mwHRCowardDisgrace,fbmwHRCowardDisgrace
mwHRDagothTanis,fbmwHRDagothTanis
mwHRLostBanner,fbmwHRLostBanner
mwHROldFlame,fbmwHROldFlame
mwHRRedasTomb,fbmwHRRedasTomb
mwHRStronghold,fbmwHRStronghold
mwHTFyrMessage,fbmwHTFyrMessage
mwIC15MissingLimeware,fbmwICMissingLimeware
mwIC17Witch,fbmwICWitch
mwILProtectEntius,fbmwILProtectEntius
mwMGBCShrooms,fbmwMGBCShrooms
mwMGKillNecro2,fbmwMGKillNecro2
mwMGSpyCatch,fbmwMGSpyCatch
mwMSFargothRing,fbmwMSFargothRing
mwMSJobashaAbolitionist,fbmwMSJobashaAbolitionist
mwMSLookout,fbmwMSLookout
mwMSNordburial,fbmwMSNordBurial
mwMSNuccius,fbmwMSNuccius
mwMSPiernette,fbmwMSPiernette
mwMSUmbra,fbmwMSUmbra
mwMTDBContact,fbmwMTDBContact
mwMTSFleetness,fbmwMTSFleetness
mwMTWritGuril,fbmwMTWritGuril
mwMV3Charming,fbmwMVCharming
mwMVBountyHunter,fbmwMVBountyHunter
mwMVCultistVictim,fbmwMVCultistVictim
mwMVDeadTaxman,fbmwMVDeadTaxman
mwMVSlaveMule,fbmwMVSlaveMule
mwMVVictimRomance,fbmwVVictimRomance
mwRomanceAhnassi,fbmwRomanceAhnassi
mwTGSSGenerosity2,fbmwTGssGenerosity2
mwTTDiseaseCarrier,fbmwTTDisease
mwTTFalseIncarnate,fbmwTTFalseIncarnate
0NucciusURing,fbmwNucciusRing
mwFargothREF,fbmwFargothREF
mwTownVivec,fbmwTownVivec
mwTownBalmora,fbmwTownBalmora
AscadianIslesRegion,AscadianIslesRegions
0alitUblighted,0AlitBlighted
0alitUdiseased,0AlitDiseased
0ancestorUghost,0AncestralGhost
0ancestorUmgUwisewoman,fbmwMGWiseWomanGhost
0ascendedUsleeper,0AscendedSleeper
0ashUghoul,0AshGhoul
0ashUslave,0AshSlave
0ashUzombie,0AshZombieEloth
0atronachUflame,0AtronachFlame
0atronachUflameUaz,fbmwFlameAtronachAzura
0atronachUfrost,0AtronachFrost
0atronachUfrostUBM,fbmwbmFrostAtronach
0atronachUfrostUgwaiUuni,0CreatureAtronachFrostUniqueNomegGwai
0atronachUstorm,0AtronachStorm
0bmSskeletonSchampionSgr,0bmskeletonchampiongr
0BMUbearUblack,0bmbearblack
0BMUbearUblackUfat,0BMbearblackfat
0BMUbearUbrown,0bmbearbrown
0BMUbearUsnowUunique,0BMsnowbear
0BMUdraugr01,fbmwBMCreatureDraugr
0BMUfrostUboar,0FrostBoar
0BMUhircineUspdaspect,0HircinesAspectofSpeed
0BMUhircineUstraspect,0HircinesAspectofStrength
0BMUhorker,0Horker
0BMUhorkerUdead,fbmwBMHorkerDead1
0BMUhorkerUlarge,0bmHorkerlarge
0BMUiceUtrollUtough,0bmicetrolltough
0BMUrieklingUboarmaster,0bmRieklingBoarmaster
0BMUrieklingUmounted,0bmRieklingMounted
0bmUskeletonUpirateS,0bmskeletonpirate
0bmUskeletonUpirateUcapt,0bmskeletonpiratecapt
0bmUskUchampUbloodskal01,0bmskchampbloodskal01
0BMUspriggan,0bmSpriggan
0BMUsprigganUco1,0BMsprigganco1
0BMUudyrfrykte,fbmwUderFrykte
0BMUwolfUboneUsummon,0bmWolfBoneSummon
0BMUwolfUcaenlorn1,0bmWolfCaenlorn
0BMUwolfUgrey,0BMWolfGrey
0BMUwolfUgreyUlvlU1,0BMWolfGreyLvl1
0BMUwolfUgreyUsummon,0BmWolfGreySummon
0BMUwolfUhroldar,0BMWolfhroldar
0BMUwolfUred,0bmredwolf
0BMUwolfUskeleton,0bmWolfskeleton
