Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
GLOB,LGNPC_SeydaNeen,"emtoddteen",,0x3010001,0,,,,""
GLOB,LGNPC_SeydaNeen,"lgnpcsnRentSeydaNeenArrill",,0x3010002,1,,,,""
DOOR,LGNPC_SeydaNeen,"0lgnpcUsnUexUnordUdoorU01",,0x3010003,2,,,,""
CELL,LGNPC_SeydaNeen,"ClutterSWarehouseSTSEverythingSMustSGo!",,0x3010004,3,,,,""
CELL,LGNPC_SeydaNeen,"VivecVSRedoranSScoutS&SDrillmaster",,0x3010005,4,,,,""
CELL,LGNPC_SeydaNeen,"SeydaSNeenVSArrilleAsSRental",,0x3010006,5,,,,""
SCPT,LGNPC_SeydaNeen,"lgnpcUsnUArrilleRentalDoorScrptScript",,0x3010007,6,,,,""
SCPT,LGNPC_SeydaNeen,"lgnpcUsnURentTimerScript",,0x3010008,7,,,,"#QUEST"
REFR,LGNPC_SeydaNeen,"ref#316116",,0x3010009,8,,,,""
REFR,LGNPC_SeydaNeen,"ref#316117",,0x301000a,9,,,,""
REFR,LGNPC_SeydaNeen,"ref#316118",,0x301000b,10,,,,""
REFR,LGNPC_SeydaNeen,"ref#316119",,0x301000c,11,,,,""
REFR,LGNPC_SeydaNeen,"ref#316120",,0x301000d,12,,,,""
REFR,LGNPC_SeydaNeen,"ref#316121",,0x301000e,13,,,,""
REFR,LGNPC_SeydaNeen,"ref#316122",,0x301000f,14,,,,""
REFR,LGNPC_SeydaNeen,"ref#316123",,0x3010010,15,,,,""
REFR,LGNPC_SeydaNeen,"ref#316124",,0x3010011,16,,,,""
REFR,LGNPC_SeydaNeen,"ref#316125",,0x3010012,17,,,,""
REFR,LGNPC_SeydaNeen,"ref#316126",,0x3010013,18,,,,""
REFR,LGNPC_SeydaNeen,"ref#316127",,0x3010014,19,,,,""
REFR,LGNPC_SeydaNeen,"ref#316128",,0x3010015,20,,,,""
REFR,LGNPC_SeydaNeen,"ref#316129",,0x3010016,21,,,,""
REFR,LGNPC_SeydaNeen,"ref#316130",,0x3010017,22,,,,""
REFR,LGNPC_SeydaNeen,"ref#316131",,0x3010018,23,,,,""
REFR,LGNPC_SeydaNeen,"ref#316132",,0x3010019,24,,,,""
REFR,LGNPC_SeydaNeen,"ref#316133",,0x301001a,25,,,,""
REFR,LGNPC_SeydaNeen,"ref#316134",,0x301001b,26,,,,""
REFR,LGNPC_SeydaNeen,"ref#316135",,0x301001c,27,,,,""
REFR,LGNPC_SeydaNeen,"ref#316136",,0x301001d,28,,,,""
REFR,LGNPC_SeydaNeen,"ref#316137",,0x301001e,29,,,,""
REFR,LGNPC_SeydaNeen,"ref#316138",,0x301001f,30,,,,""
REFR,LGNPC_SeydaNeen,"ref#316139",,0x3010020,31,,,,""
REFR,LGNPC_SeydaNeen,"ref#316140",,0x3010021,32,,,,""
REFR,LGNPC_SeydaNeen,"ref#316141",,0x3010022,33,,,,""
REFR,LGNPC_SeydaNeen,"ref#316142",,0x3010023,34,,,,""
REFR,LGNPC_SeydaNeen,"ref#316143",,0x3010024,35,,,,""
REFR,LGNPC_SeydaNeen,"ref#316144",,0x3010025,36,,,,""
REFR,LGNPC_SeydaNeen,"ref#316145",,0x3010026,37,,,,""
REFR,LGNPC_SeydaNeen,"ref#316146",,0x3010027,38,,,,""
REFR,LGNPC_SeydaNeen,"ref#316147",,0x3010028,39,,,,""
REFR,LGNPC_SeydaNeen,"ref#316148",,0x3010029,40,,,,""
REFR,LGNPC_SeydaNeen,"ref#316149",,0x301002a,41,,,,""
REFR,LGNPC_SeydaNeen,"ref#316150",,0x301002b,42,,,,""
REFR,LGNPC_SeydaNeen,"ref#316151",,0x301002c,43,,,,""
REFR,LGNPC_SeydaNeen,"ref#316152",,0x301002d,44,,,,""
REFR,LGNPC_SeydaNeen,"ref#316153",,0x301002e,45,,,,""
REFR,LGNPC_SeydaNeen,"ref#316154",,0x301002f,46,,,,""
REFR,LGNPC_SeydaNeen,"ref#316155",,0x3010030,47,,,,""
REFR,LGNPC_SeydaNeen,"ref#316156",,0x3010031,48,,,,""
QUST,LGNPC_SeydaNeen,"mwlgnpcsnErene",,0x3010032,49,,,,""
QUST,LGNPC_SeydaNeen,"mwlgnpcUsnURentTimerScriptQuest",,0x3010033,50,,,,""
QUST,LGNPC_SeydaNeen,"mwtuscglobalulooptrscriptquest",,0x3010034,51,,,,""
INFO,LGNPC_SeydaNeen,"info#15223863269706031",,0x3010035,52,,,,""
INFO,LGNPC_SeydaNeen,"info#94922772149110340",,0x3010036,53,,,,""
INFO,LGNPC_SeydaNeen,"info#17914262893009510600",,0x3010037,54,,,,""
INFO,LGNPC_SeydaNeen,"info#31924305276859897",,0x3010038,55,,,,""
INFO,LGNPC_SeydaNeen,"info#991732062754510218",,0x3010039,56,,,,""
INFO,LGNPC_SeydaNeen,"info#20653245742512929993",,0x301003a,57,,,,""
INFO,LGNPC_SeydaNeen,"info#8415277441967517853",,0x301003b,58,,,,""
INFO,LGNPC_SeydaNeen,"info#1133372302389010659",,0x301003c,59,,,,""
INFO,LGNPC_SeydaNeen,"info#3235911778716529944",,0x301003d,60,,,,""
INFO,LGNPC_SeydaNeen,"info#521717061594118276",,0x301003e,61,,,,""
INFO,LGNPC_SeydaNeen,"info#3095914232799624146",,0x301003f,62,,,,""
INFO,LGNPC_SeydaNeen,"info#2202720898118406834",,0x3010040,63,,,,""
INFO,LGNPC_SeydaNeen,"info#190456011222423933",,0x3010041,64,,,,""
INFO,LGNPC_SeydaNeen,"info#7688118441356216550",,0x3010042,65,,,,""
INFO,LGNPC_SeydaNeen,"info#13066388202924070",,0x3010043,66,,,,""
