RecordType,ModFilename,EDID,NumReferences,FormID,Fullname
ANIO,,"mwCGQuillAnim",,0x01F8E97F,""
ANIO,,"mwCGScrollAnim",,0x01F8E97E,""
ANIO,,"mwIdleObjectslute02",,0x01005F52,""
ANIO,,"mwIdleObjectslute",,0x01005F47,""
ANIO,,"mwCookingBowl",,0x01005F5A,""
ANIO,,"mwDrinkLocalBrewTankard",,0x01005F59,""
ANIO,,"mwCookingSpoon",,0x01005F58,""
ANIO,,"mwBroomAnim",,0x01005F57,""
ANIO,,"mwDrinkNordMeadBarrel",,0x01005F56,""
ANIO,,"mwSmithingHammer",,0x01005F55,""
ANIO,,"mwSmithingClamp",,0x01005F54,""
ANIO,,"mwFishingRod",,0x01005F53,""
ANIO,,"mwSmokingPipe",,0x01005F46,""
CSTY,,"fbmwbmdefaultwerewolf",,0x01027AB7,""
CSTY,,"fbmwbmHircineSpeedCombat",,0x01035B1F,""
CSTY,,"mwDefaultLichCS",,0x010052B2,""
CSTY,,"mwHungerCS",,0x01F8E83B,""
PACK,,"mwPostQuestHHTavrynFaren",,0x01F8EA19,""
PACK,,"mwMVSlaveMuleVorarHelasWaitPackage",,0x01F8EA18,""
PACK,,"mwTRKingSitPackage",,0x01F8E9E8,""
PACK,,"fbmwMSAdulterAffairPackage",,0x01F8E9D0,""
PACK,,"mwCGJiubPackage",,0x01F8E97D,""
PACK,,"mwCGSocuciusErgallaPackage",,0x01F8E97C,""
PACK,,"mwCenturionShockFollowPackage",,0x01F8E7F3,""
PACK,,"mwFollowPlayerScriptPackage",,0x01F8E7EF,""
PACK,,"fbmwMSFMWarriorFollow",,0x01F8E7EA,""
PACK,,"fbmwMSFMCatFollow",,0x01F8E7E9,""
PACK,,"fbmwMSFMMageFollow",,0x01F8E7E8,""
PACK,,"mwPostQuestNelsLlendo",,0x01F8E5CA,""
PACK,,"mwHlaOadDalamGavynSitting",,0x01F8E3D5,""
PACK,,"mwHlaOadBaleniSalavelSitInBoat",,0x01F8E3D4,""
PACK,,"mwGenericThugBase",,0x01F8E3CA,""
PACK,,"mwGenericMerchRead16x4",,0x01F8E3C9,""
PACK,,"mwGenericMerchAlchemistMakePotion11x4Sit",,0x01F8E3C8,""
PACK,,"mwGenericDrunkServices",,0x01F8E3C7,""
PACK,,"mwTelBranoraSmith",,0x01F8E39C,""
PACK,,"mwTelBranoraLeisureRead",,0x01F8E39B,""
PACK,,"mwTelBranoraMerchantEat",,0x01F8E39A,""
PACK,,"mwTelBranoraMerchantSleep",,0x01F8E399,""
PACK,,"mwTelBranoraTrader",,0x01F8E398,""
PACK,,"mwTelBranoraCommonerShop2",,0x01F8E397,""
PACK,,"mwTelBranoraCommonerShop1",,0x01F8E396,""
PACK,,"mwTelBranoraCommonerWander",,0x01F8E395,""
PACK,,"mwTelBranoraCommonerSleep",,0x01F8E394,""
