RecordType,ModFilename,EDID,NumReferences,FormID,Fullname
EFSH,,"testfrostshader",,0x0004B6D5,""
EFSH,,"testwatershader",,0x0004B6D6,""
EFSH,,"testfireshader",,0x0004B6D7,""
EFSH,,"effectRestoreHealth",,0x000562C3,""
EFSH,,"effectParalyze",,0x000562C4,""
EFSH,,"effectFortifyHealth",,0x000562C5,""
EFSH,,"effectFortifyMagicka",,0x000562C6,""
EFSH,,"effectFortifyFatigue",,0x000562C7,""
EFSH,,"effectFortify",,0x000562C8,""
EFSH,,"effectRestore",,0x000562C9,""
EFSH,,"effectFireDamage",,0x000852FE,""
EFSH,,"effectOpen",,0x0009DE81,""
EFSH,,"effectLock",,0x0009DE82,""
EFSH,,"effectDisintegrateArmor",,0x000AA439,""
EFSH,,"effectDetectLife",,0x0005C004,""
EFSH,,"effectAtronachFlame",,0x00084A51,""
EFSH,,"effectFrostDamage",,0x0008982B,""
EFSH,,"effectAtronachFrost",,0x00089975,""
EFSH,,"effectReanimate",,0x0009062B,""
EFSH,,"effectShockDamage",,0x00090664,""
EFSH,,"GhostEffect",,0x000B9923,""
EFSH,,"effectAtronachStorm",,0x000E6ECE,""
EFSH,,"effectSoulTrap",,0x0014A0A2,""
EFSH,,"effectShield",,0x00177E4F,""
EFSH,,"effectSunDamage",,0x0017C9D6,""
EFSH,,"effectTelekinesis",,0x00181C2E,""
EFSH,,"effectFireShield",,0x00185DFE,""
EFSH,,"effectFrostShield",,0x00185DFF,""
EFSH,,"effectShockShield",,0x00185E00,""
EFSH,,"effectEnchantDestruction",,0x0018B575,""
EFSH,,"effectEnchantConjuration",,0x0018B576,""
EFSH,,"effectEnchantRestoration",,0x0018B577,""
EFSH,,"effectEnchantIllusion",,0x0018B578,""
EFSH,,"effectEnchantAlteration",,0x0018B579,""
EFSH,,"effectEnchantShockDamage",,0x0018B57A,""
EFSH,,"effectEnchantMysticism",,0x0018B57B,""
EFSH,,"effectEnchantFireDamage",,0x0018B57C,""
EFSH,,"effectStone",,0x0018BAE9,""
EFSH,,"effectEnchantFrostDamage",,0x00061514,""
EFSH,,"effectResistNormalWeapons",,0x00062D0C,""
EFSH,,"effectEnchantTurnUndead",,0x00065D63,""
EFSH,,"effectFireDragon",,0x00066332,""
EFSH,,"effectSummonMythicDawn",,0x000711B7,""
EFSH,,"effectReflectSpell",,0x0008B918,""
