Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
REFR,TR_Mainland,0PrisonMarker,7,0x00000004,,,,,
,Tamriel_Data,0pickUapprenticeU01,2,0x0000000A,LVLI+INV_CNT,,,,
,Tamriel_Data,0repairUjourneymanU01,10,0x0000000C,LVLI+INV_CNT+BASEREF,,,,
INGR,Tamriel_Data,0ingredUvampireUdustU01,3,0x00009182,,,,,
CLAS,TR_Mainland,0SorcererSService,4,0x0000CF06,,,,,
SLGM,Tamriel_Data,0MiscUSoulGemUCommon,5,0x00015B8B,,,,,
SLGM,Tamriel_Data,0MiscUSoulGemUGreater,5,0x00015B8C,,,,,
SLGM,Tamriel_Data,0MiscUSoulGemUGrand,5,0x00015B8E,,,,,
MISC,Tamriel_Data,0miscUcomUsilverwareUfork,3,0x00019116,,,,,
MISC,Tamriel_Data,0miscUcomUsilverwareUknife,3,0x00019117,,,,,
MISC,Tamriel_Data,0miscUcomUsilverwareUspoon,3,0x00019119,,,,,
CLAS,TR_Mainland,0Smith,32,0x0001C823,,,,,
CREA,Tamriel_Data,0atronachUflame,1,0x0001E5EF,,,,,
INGR,Tamriel_Data,0ingredUectoplasmU01,3,0x0001EBFE,,,,,
INGR,Tamriel_Data,0ingredUbonemealU01,19,0x0001EBFF,,,,,
INGR,Tamriel_Data,0ingredUdaedrasUheartU01,6,0x0001EC8F,,,,,
CREA,Tamriel_Data,0atronachUfrost,1,0x0001FF22,,,,,
CREA,Tamriel_Data,0atronachUstorm,2,0x0001FF23,,,,,
ARMO,Tamriel_Data,0rightSleatherSbracer,3,0x000229A9,,,,,
INGR,Tamriel_Data,0ingredUfrostUsaltsU01,1,0x00022E5B,,,,,
ARMO,Tamriel_Data,0steelUshield,4,0x00023923,,,,,
CLAS,TR_Mainland,0AlchemistSService,27,0x00023C09,,,,,
CLAS,TR_Mainland,0Bookseller,8,0x00023C0A,,,,,
CLAS,TR_Mainland,0Enforcer,14,0x00023C0E,,,,,
MISC,Tamriel_Data,0MiscUQuill,3,0x00023D63,,,,,
SLGM,Tamriel_Data,0MiscUSoulGemUPetty,6,0x00023D67,,,,,
SLGM,Tamriel_Data,0MiscUSoulGemULesser,5,0x00023D69,,,,,
CLAS,TR_Mainland,0EnchanterSService,18,0x00023E5F,,,,,
CLAS,TR_Mainland,0Pawnbroker,14,0x00023E69,,,,,
CLAS,TR_Mainland,0Publican,30,0x00023E6A,,,,,
CLAS,TR_Mainland,0MageSService,6,0x00023E76,,,,,
CLAS,TR_Mainland,0ThiefSService,3,0x00023F04,,,,,
CLAS,TR_Mainland,0Clothier,18,0x00024162,,,,,
CLAS,TR_Mainland,0TraderSService,42,0x00024163,,,,,
BOOK,Tamriel_Data,0bkUBiographyBarenziah1,9,0x00024550,,,,,
BOOK,Tamriel_Data,0bkUBiographyBarenziah2,9,0x00024551,,,,,
BOOK,Tamriel_Data,0bkUBiographyBarenziah3,9,0x00024552,,,,,
ARMO,Tamriel_Data,0furUgauntletUright,3,0x00024765,,,,,
ARMO,Tamriel_Data,0furUcuirass,4,0x00024766,,,,,
ARMO,Tamriel_Data,0furUgreaves,3,0x00024764,,,,,
ARMO,Tamriel_Data,0furUboots,2,0x00024767,,,,,
ARMO,Tamriel_Data,0furUhelm,3,0x00024768,,,,,
MISC,Tamriel_Data,0miscUcomUbasketU01,6,0x00024D91,,,,,
MISC,Tamriel_Data,0miscUcomUbasketU02,8,0x00024D92,,,,,
ARMO,Tamriel_Data,0nordicUleatherUshield,10,0x00025058,,,,,
MISC,Tamriel_Data,0miscUshearsU01,2,0x0002511C,,,,,
LIGH,Tamriel_Data,0torchUinfiniteUtime,14,0x0002CF9F,,,,,
,Tamriel_Data,0potionUcyroUbrandyU01,4,0x00033569,BASEREF,,,,
INGR,Tamriel_Data,0ingredUcrabUmeatU01,13,0x0003366C,,,,,
INGR,Tamriel_Data,0ingredUdreughUwaxU01,4,0x00033673,,,,,
INGR,Tamriel_Data,0ingredUfireUsaltsU01,5,0x00033675,,,,,
INGR,Tamriel_Data,0ingredUratUmeatU01,9,0x0003368F,,,,,
INGR,Tamriel_Data,0ingredUscalesU01,13,0x00033692,,,,,
INGR,Tamriel_Data,0ingredUscampUskinU01,3,0x00033693,,,,,
INGR,Tamriel_Data,0ingredUvoidUsaltsU01,5,0x0003369F,,,,,
ARMO,Tamriel_Data,0ironUshield,17,0x000352C1,,,,,
ARMO,TR_Preview,0glassUgreaves,1,0x00036342,,,,,
ARMO,Tamriel_Data,0glassUshield,1,0x00036344,,,,,
ARMO,Tamriel_Data,0daedricUshield,1,0x0003635C,,,,,
,TR_Mainland,0CollisionSWallSTSINVISO!!,202,0x00050BC4,BASEREF,,,,
CREA,Tamriel_Data,0BMUbearUblack,4,0x00097A15,,,,,
ACTI,TR_Mainland,0chimneyUsmokeUsmall,32,0x000CA2B7,,,,,
ALCH,TR_Preview,0MiscUPotionUCheapU01,4,0x000CD2DB,,,,,
CREA,Tamriel_Data,0BMUspriggan,2,0x01000868,,,,,
CREA,Tamriel_Data,0BMUwolfUgrey,4,0x01000898,,,,,
CREA,TR_Preview,0bmUexUhorkerUh20,2,0x01000BDE,,,,,
CREA,Tamriel_Data,0kwamaSwarrior,1,0x01002160,,,,,
CREA,TR_Preview,0scribSUdead,1,0x01002162,,,,,
CREA,TR_Mainland,0deadSrat,2,0x01002163,,,,,
CREA,TR_Mainland,0dreughUkoal,1,0x01002757,,,,,
ENCH,Tamriel_Data,0almsiviSinterventionUen,1,0x010029E2,,,,,
ENCH,Tamriel_Data,0divineSinterventionUen,1,0x010029E3,,,,,
ENCH,TR_Mainland,0direSviperUen,1,0x01002D78,,,,,
CREA,TR_Mainland,0kwamaSworker,23,0x0100327D,,,,,
CREA,Tamriel_Data,0kwamaSforager,1,0x0100327E,,,,,
CREA,TR_Mainland,0wingedStwilight,11,0x0100327F,,,,,
CREA,Tamriel_Data,0nixThound,2,0x01003281,,,,,
CREA,TR_Mainland,0skeletonSarcher,2,0x01003A0C,,,,,
CREA,Tamriel_Data,0skeletonSwarrior,12,0x01003A0D,,,,,
CREA,Tamriel_Data,0ogrimStitan,4,0x01003A41,,,,,
CREA,TR_Mainland,0kwamaSworkerSentrance,15,0x01003B17,,,,,
CREA,Tamriel_Data,0BonewalkerUGreater,1,0x01003B38,,,,,
ARMO,Tamriel_Data,0dwemerUbracerUright,1,0x010041F1,,,,,
ARMO,Tamriel_Data,0orcishUbracerUright,2,0x01004330,,,,,
CREA,TR_Mainland,0scampUdead,1,0x01004BBC,,,,,
AMMO,Tamriel_Data,0chitinSarrow,11,0x01004BBD,,,,,
CREA,Tamriel_Data,0dwarvenSghost,1,0x01005A17,,,,,
CREA,Tamriel_Data,0bonewalkerUweak,4,0x0100603D,,,,,
CLOT,Tamriel_Data,0viperboltSring,1,0x01007DB8,,,,,
ENCH,Tamriel_Data,0divineSinterventionSenchantmen,1,0x01008379,,,,,
CREA,Tamriel_Data,0lich,6,0x0100847D,,,,,
CREA,TR_Mainland,0corprusUstalker,2,0x0100A605,,,,,
CLOT,TR_Preview,0commonUbeltU01,26,0x0100B68A,,,,,
CLOT,TR_Preview,0commonUbeltU02,39,0x0100B68B,,,,,
CLOT,Tamriel_Data,0commonUbeltU03,1,0x0100B68C,,,,,
CLOT,TR_Preview,0commonUbeltU04,19,0x0100B68D,,,,,
CLOT,Tamriel_Data,0expensiveUbeltU01,2,0x0100B690,,,,,
CLOT,Tamriel_Data,0expensiveUbeltU02,3,0x0100B691,,,,,
CLOT,TR_Preview,0expensiveUbeltU03,14,0x0100B692,,,,,
CLOT,Tamriel_Data,0exquisiteUbeltU01,2,0x0100B693,,,,,
CLOT,Tamriel_Data,0extravagantUbeltU01,3,0x0100B694,,,,,
CLOT,Tamriel_Data,0extravagantUbeltU02,1,0x0100B695,,,,,
AMMO,Tamriel_Data,0bonemoldSarrow,6,0x0100B9B3,,,,,
CONT,TR_Mainland,0MummyU01,73,0x0100D0D8,,,,,
CONT,TR_Mainland,0MummyU02,37,0x0100D0D9,,,,,
CONT,TR_Mainland,0MummyU03,14,0x0100D0DA,,,,,
CONT,TR_Mainland,0MummyU04,20,0x0100D0DB,,,,,
CONT,TR_Mainland,0MummyU05,19,0x0100D0DC,,,,,
CONT,TR_Mainland,0MummyU06,15,0x0100D0DD,,,,,
CLOT,Tamriel_Data,0exquisiteUringU02,2,0x01011A7B,,,,,
CLOT,Tamriel_Data,0imperialSbelt,7,0x01017E30,,,,,
CLOT,Tamriel_Data,0herderAsSbelt,1,0x01017E31,,,,,
CLOT,Tamriel_Data,0beltSofSwisdom,1,0x01017E33,,,,,
CLOT,Tamriel_Data,0scampSslinkerSbelt,1,0x01017E34,,,,,
CLOT,Tamriel_Data,0beltSofSvigor,1,0x01017E35,,,,,
CLOT,Tamriel_Data,0beltSofSbalynaAsSsoothingSbalm,1,0x01017E36,,,,,
CLOT,Tamriel_Data,0indorilUbelt,6,0x01017E37,,,,,
CLOT,Tamriel_Data,0beltSofSironSwill,1,0x01017E38,,,,,
CLOT,Tamriel_Data,0lifeSbelt,1,0x01017E39,,,,,
CLOT,Tamriel_Data,0firstSbarrierSbelt,1,0x01017E3A,,,,,
CLOT,Tamriel_Data,0beltSofSfeetSofSnotorgo,1,0x01017E3B,,,,,
CLOT,Tamriel_Data,0beltSofSnimbleness,1,0x01017E3C,,,,,
CLOT,Tamriel_Data,0secondSbarrierSbelt,1,0x01017E3E,,,,,
CLOT,Tamriel_Data,0beltSofSjackSofStrades,1,0x01017E3F,,,,,
CLOT,Tamriel_Data,0beltSofScharisma,1,0x01017E40,,,,,
CLOT,Tamriel_Data,0beltSofSfortitude,1,0x01017E41,,,,,
CLOT,Tamriel_Data,0bloodSbelt,1,0x01017E43,,,,,
CLOT,Tamriel_Data,0hearthSbelt,1,0x01017E45,,,,,
CLOT,Tamriel_Data,0fatherAsSbelt,1,0x01017E46,,,,,
CLOT,Tamriel_Data,0beltSofSfreeSaction,1,0x01017E4A,,,,,
CLOT,Tamriel_Data,0featherSbelt,1,0x01017E4B,,,,,
CLOT,Tamriel_Data,0hunterAsSbelt,1,0x01017E4D,,,,,
