Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
scpt,TR_Mainland,trufwtransportscript,,0x4010004,506397,,,,#QUEST
scpt,TR_Mainland,trum1ubooutdoornpcsscript,,0x401000c,506405,,,,#QUEST
scpt,TR_Mainland,trum1ugsumqu5uwrapupscript,,0x4010030,506441,,,,#QUEST
scpt,TR_Mainland,trum1uq50ugo1ugscptscript,,0x4010053,506476,,,,#QUEST
scpt,TR_Mainland,trum1uq59uhaoumoveuscript,,0x4010067,506496,,,,#QUEST
scpt,TR_Mainland,trum1uq59ulituglobalscript,,0x401006a,506499,,,,#QUEST
scpt,TR_Mainland,trum1uq59umaiuscriptu9,,0x4010074,506509,,,,#QUEST
scpt,TR_Mainland,trum1uq62uktmuglobalsu1script,,0x4010078,506513,,,,#QUEST
scpt,TR_Mainland,trum1uq66uel1utimerscript,,0x4010085,506526,,,,#QUEST
scpt,TR_Mainland,trum1uq66uel2usummonugscript,,0x4010087,506528,,,,#QUEST
scpt,TR_Mainland,trum1uq67ufa2ugscript1,,0x401008c,506533,,,,#QUEST
scpt,TR_Mainland,trum1uq68upocreluscptscript,,0x401008f,506536,,,,#QUEST
scpt,TR_Mainland,trum1uqu57umudlaptimerscript,,0x4010094,506541,,,,#QUEST
scpt,TR_Mainland,trum1uqudisablescrollscript,,0x40100a7,506560,,,,#QUEST
scpt,TR_Mainland,trum1uqudr2timerscript,,0x40100aa,506563,,,,#QUEST
scpt,TR_Mainland,trum1uqufgujanabreakinscript,,0x40100b5,506575,,,,#QUEST
scpt,TR_Mainland,trum1uquhasiliusdrunkscript,,0x40100c5,506590,,,,#QUEST
scpt,TR_Mainland,trum1uquhtumiubreaktimerscript,,0x40100c7,506592,,,,#QUEST
scpt,TR_Mainland,trum1uquicu1ukwamaeggsscript,,0x40100c8,506593,,,,#QUEST
scpt,TR_Mainland,trum1uqukhifzahscript,,0x40100d3,506604,,,,#QUEST
scpt,TR_Mainland,trum1uqukobindeliverytimerscript,,0x40100d5,506606,,,,#QUEST
scpt,TR_Mainland,trum1uqukobkuassassinshowdownscript,,0x40100d7,506608,,,,#QUEST
scpt,TR_Mainland,trum1uqumashugshowtrapscript,,0x40100dc,506613,,,,#QUEST
scpt,TR_Mainland,trum1uqumithrastimer1script,,0x40100e1,506618,,,,#QUEST
scpt,TR_Mainland,trum1uqumithrastimer2script,,0x40100e2,506619,,,,#QUEST
scpt,TR_Mainland,trum1uqumithrastimer3script,,0x40100e3,506620,,,,#QUEST
scpt,TR_Mainland,trum1uqunassudannoteleportscript,,0x40100e6,506623,,,,#QUEST
