Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
CELL,TR_Travels,"#-30 -60",,0x5010001,0,,,,""
CELL,TR_Travels,"#-29 -60",,0x5010002,1,,,,""
CELL,TR_Travels,"#-30 -59",,0x5010003,2,,,,""
CELL,TR_Travels,"#-29 -59",,0x5010004,3,,,,""
CELL,TR_Travels,"#-8 -52",,0x5010005,4,,,,""
CELL,TR_Travels,"#-7 -52",,0x5010006,5,,,,""
CELL,TR_Travels,"#-8 -51",,0x5010007,6,,,,""
CELL,TR_Travels,"#-7 -51",,0x5010008,7,,,,""
CELL,TR_Travels,"#-74 42",,0x5010009,8,,,,""
CELL,TR_Travels,"#-73 42",,0x501000a,9,,,,""
CELL,TR_Travels,"#-74 43",,0x501000b,10,,,,""
CELL,TR_Travels,"#-73 43",,0x501000c,11,,,,""
CELL,TR_Travels,"#14 -100",,0x501000d,12,,,,""
CELL,TR_Travels,"#15 -100",,0x501000e,13,,,,""
CELL,TR_Travels,"#14 -99",,0x501000f,14,,,,""
CELL,TR_Travels,"#15 -99",,0x5010010,15,,,,""
CELL,TR_Travels,"#12 -100",,0x5010011,16,,,,""
CELL,TR_Travels,"#13 -100",,0x5010012,17,,,,""
CELL,TR_Travels,"#12 -99",,0x5010013,18,,,,""
CELL,TR_Travels,"#13 -99",,0x5010014,19,,,,""
CELL,TR_Travels,"#12 -102",,0x5010015,20,,,,""
CELL,TR_Travels,"#13 -102",,0x5010016,21,,,,""
CELL,TR_Travels,"#12 -101",,0x5010017,22,,,,""
CELL,TR_Travels,"#13 -101",,0x5010018,23,,,,""
CELL,TR_Travels,"#14 -102",,0x5010019,24,,,,""
CELL,TR_Travels,"#15 -102",,0x501001a,25,,,,""
CELL,TR_Travels,"#14 -101",,0x501001b,26,,,,""
CELL,TR_Travels,"#15 -101",,0x501001c,27,,,,""
CELL,TR_Travels,"#12 -104",,0x501001d,28,,,,""
CELL,TR_Travels,"#13 -104",,0x501001e,29,,,,""
CELL,TR_Travels,"#12 -103",,0x501001f,30,,,,""
CELL,TR_Travels,"#13 -103",,0x5010020,31,,,,""
CELL,TR_Travels,"#14 -104",,0x5010021,32,,,,""
CELL,TR_Travels,"#15 -104",,0x5010022,33,,,,""
CELL,TR_Travels,"#14 -103",,0x5010023,34,,,,""
CELL,TR_Travels,"#15 -103",,0x5010024,35,,,,""
