Record Type,Mod File,EDID,blank,FormID,Comments
npc_,Tamriel_Data,"0pcudeaduimpumuguardu01",,0x3013796,0
npc_,Tamriel_Data,"0pcutestunpc",,0x3013797,1
npc_,Tamriel_Data,"0skyutestunpc",,0x3013795,2
npc_,Tamriel_Data,"0truhlauguard",,0x30137ce,3
npc_,Tamriel_Data,"0truhlauguarduf",,0x30137d3,4
npc_,Tamriel_Data,"0truhlauguardus",,0x30137cd,5
npc_,Tamriel_Data,"0truhlausharpshooter",,0x30137cf,6
npc_,Tamriel_Data,"0truimpuarcher",,0x30137ac,7
npc_,Tamriel_Data,"0truimpuarcherub",,0x30137ad,8
npc_,Tamriel_Data,"0truimpuarcherus",,0x30137ae,9
npc_,Tamriel_Data,"0truimpuguard",,0x30137af,10
npc_,Tamriel_Data,"0truimpuguarducap",,0x30137b0,11
npc_,Tamriel_Data,"0truimpuguarducapus",,0x30137b1,12
npc_,Tamriel_Data,"0truimpuguardus",,0x30137b2,13
npc_,Tamriel_Data,"0truinduguard",,0x30137b3,14
npc_,Tamriel_Data,"0truinduguarduf",,0x30137b4,15
npc_,Tamriel_Data,"0truinduguardufus",,0x30137b5,16
npc_,Tamriel_Data,"0truinduguardus",,0x30137b6,17
npc_,Tamriel_Data,"0truordinator",,0x30137b7,18
npc_,Tamriel_Data,"0truordinatoruhigh",,0x30137b8,19
npc_,Tamriel_Data,"0truordinatoruhighus",,0x30137b9,20
npc_,Tamriel_Data,"0truordinatorunecrom",,0x30137ba,21
npc_,Tamriel_Data,"0truordinatorunecromus",,0x30137bb,22
npc_,Tamriel_Data,"0truordinatorus",,0x30137bc,23
npc_,Tamriel_Data,"0truordinatoruwar",,0x30137bd,24
npc_,Tamriel_Data,"0truordinatoruwarus",,0x30137be,25
npc_,Tamriel_Data,"0trureduguard",,0x30137bf,26
npc_,Tamriel_Data,"0trureduguardub",,0x30137c0,27
npc_,Tamriel_Data,"0trureduguarduf",,0x30137d0,28
npc_,Tamriel_Data,"0trureduguardufus",,0x30137d1,29
npc_,Tamriel_Data,"0trureduguardus",,0x30137c1,30
npc_,Tamriel_Data,"0trureduguardustrong",,0x30137d4,31
npc_,Tamriel_Data,"0trureduguardustronguf",,0x30137d5,32
npc_,Tamriel_Data,"0trureduwatchman",,0x30137c2,33
npc_,Tamriel_Data,"0trureduwatchmanub",,0x30137c3,34
npc_,Tamriel_Data,"0trureduwatchmanuf",,0x30137d2,35
npc_,Tamriel_Data,"0trureduwatchmanus",,0x30137c4,36
npc_,Tamriel_Data,"0truroameruassassinu16a",,0x3013798,37
