Record Type,Mod File,EDID,blank,FormID,Comments,Position Offset,Rotation Offset,Scale,Extra Tags
scpt,Tamriel_Data,"tuscbookuspabsorbfatiguescript",,0x3010001,0,,,,""
scpt,Tamriel_Data,"tuscbookuspalmsiviinterventionscript",,0x3010002,1,,,,""
scpt,Tamriel_Data,"tuscbookuspblindscript",,0x3010003,2,,,,""
scpt,Tamriel_Data,"tuscbookuspboundaxescript",,0x3010004,3,,,,""
scpt,Tamriel_Data,"tuscbookuspboundbootsscript",,0x3010005,4,,,,""
scpt,Tamriel_Data,"tuscbookuspboundcuirassscript",,0x3010006,5,,,,""
scpt,Tamriel_Data,"tuscbookuspboundglovesscript",,0x3010007,6,,,,""
scpt,Tamriel_Data,"tuscbookuspboundlongswordscript",,0x3010008,7,,,,""
scpt,Tamriel_Data,"tuscbookuspburdenscript",,0x3010009,8,,,,""
scpt,Tamriel_Data,"tuscbookuspcalmcreaturescript",,0x301000a,9,,,,""
scpt,Tamriel_Data,"tuscbookuspchameleonscript",,0x301000b,10,,,,""
scpt,Tamriel_Data,"tuscbookuspcharmscript",,0x301000c,11,,,,""
scpt,Tamriel_Data,"tuscbookuspcommandcreaturescript",,0x301000d,12,,,,""
scpt,Tamriel_Data,"tuscbookuspcommandhumanoidscript",,0x301000e,13,,,,""
scpt,Tamriel_Data,"tuscbookuspcureblightscript",,0x301000f,14,,,,""
scpt,Tamriel_Data,"tuscbookuspcurecommondiseasescript",,0x3010010,15,,,,""
scpt,Tamriel_Data,"tuscbookuspcureparalyzationscript",,0x3010011,16,,,,""
scpt,Tamriel_Data,"tuscbookuspdamagehealthscript",,0x3010012,17,,,,""
scpt,Tamriel_Data,"tuscbookuspdemoralizecreaturescript",,0x3010013,18,,,,""
scpt,Tamriel_Data,"tuscbookuspdemoralizehumanoidscript",,0x3010014,19,,,,""
scpt,Tamriel_Data,"tuscbookuspdetectkeyscript",,0x3010015,20,,,,""
scpt,Tamriel_Data,"tuscbookuspdisintegratearmorscript",,0x3010016,21,,,,""
scpt,Tamriel_Data,"tuscbookuspdispelscript",,0x3010017,22,,,,""
scpt,Tamriel_Data,"tuscbookuspdrainfatiguescript",,0x3010018,23,,,,""
scpt,Tamriel_Data,"tuscbookuspdrainhealthscript",,0x3010019,24,,,,""
scpt,Tamriel_Data,"tuscbookuspdrainmagickascript",,0x301001a,25,,,,""
scpt,Tamriel_Data,"tuscbookuspfeatherscript",,0x301001b,26,,,,""
scpt,Tamriel_Data,"tuscbookuspfortifyattackscript",,0x301001c,27,,,,""
scpt,Tamriel_Data,"tuscbookuspfortifyfatiguescript",,0x301001d,28,,,,""
scpt,Tamriel_Data,"tuscbookuspfortifyintelligencescript",,0x301001e,29,,,,""
scpt,Tamriel_Data,"tuscbookuspinvisibilityscript",,0x301001f,30,,,,""
scpt,Tamriel_Data,"tuscbookuspjumpscript",,0x3010020,31,,,,""
scpt,Tamriel_Data,"tuscbookusplightscript",,0x3010021,32,,,,""
scpt,Tamriel_Data,"tuscbookusplockscript",,0x3010022,33,,,,""
scpt,Tamriel_Data,"tuscbookuspnighteyescript",,0x3010023,34,,,,""
scpt,Tamriel_Data,"tuscbookuspparalyzescript",,0x3010024,35,,,,""
scpt,Tamriel_Data,"tuscbookuspperyitoneastscript",,0x3010025,36,,,,""
scpt,Tamriel_Data,"tuscbookuspperyitonfringesscript",,0x3010026,37,,,,""
scpt,Tamriel_Data,"tuscbookuspperyitonnorthscript",,0x3010027,38,,,,""
scpt,Tamriel_Data,"tuscbookuspperyitonsouthscript",,0x3010028,39,,,,""
scpt,Tamriel_Data,"tuscbookuspperyitonwestscript",,0x3010029,40,,,,""
scpt,Tamriel_Data,"tuscbookusprallyhumanoidscript",,0x301002a,41,,,,""
scpt,Tamriel_Data,"tuscbookuspreflectscript",,0x301002b,42,,,,""
scpt,Tamriel_Data,"tuscbookusprestorehealthscript",,0x301002c,43,,,,""
scpt,Tamriel_Data,"tuscbookuspsanctuaryscript",,0x301002d,44,,,,""
scpt,Tamriel_Data,"tuscbookuspslowfallscript",,0x301002e,45,,,,""
scpt,Tamriel_Data,"tuscbookuspsoultrapgrandscript",,0x301002f,46,,,,""
scpt,Tamriel_Data,"tuscbookuspsoundscript",,0x3010030,47,,,,""
scpt,Tamriel_Data,"tuscbookuspsummonbonelordscript",,0x3010031,48,,,,""
scpt,Tamriel_Data,"tuscbookuspsummonfrostatronachscript",,0x3010032,49,,,,""
scpt,Tamriel_Data,"tuscbookuspsummonscampscript",,0x3010033,50,,,,""
scpt,Tamriel_Data,"tuscbookuspsummonskeletonscript",,0x3010034,51,,,,""
scpt,Tamriel_Data,"tuscbookuspswiftswimscript",,0x3010035,52,,,,""
scpt,Tamriel_Data,"tuscbookuspturnundeadscript",,0x3010036,53,,,,""
